track_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2,-164,117,-41.8,29.1,-15.1,18.9,-8.92,12,-4.25,1.36,-2.68,-0.795,-6.92,-3.66,1.47,0.201,4,-2.11,0.117,-5.79
3,-159,120,-33.2,47.3,-6.25,31.4,-5.26,11.6,-1.6,5.13,-3.42,6.95,-4.18,-3.53,0.275,-2.27,1.09,-2.34,0.472,-1.55
5,-205,132,-16.1,41.5,-7.64,16.9,-5.65,9.57,0.503,8.67,-8.27,0.594,-0.34,2.38,7.9,1.95,7.44,-1.74,0.278,-5.49
10,-136,157,-53.5,17.2,6.87,13.9,-11.7,8.36,-5.13,0.234,-5.42,1.68,-6.22,1.84,-4.1,0.78,-0.56,-1.02,-3.81,-0.68
134,-208,126,-33.4,32.3,8.07,15.3,-4.07,10.3,5.25,7.01,3.4,5.97,2.34,3.13,4.58,-0.494,0.491,-2.72,-0.77,-4
139,-128,153,-58.6,49.6,-6.6,22.5,-7.13,9.71,1.43,-3.33,11.5,-2.01,5.5,-3.57,4.86,-5.02,1.06,0.142,-0.514,2.63
140,-226,139,-13.1,44.5,2.47,28.3,-9.93,10.8,3,-0.938,7.14,-6.63,0.824,-2,4.29,-7.94,0.0639,-2.36,-0.159,0.594
141,-253,156,-16.6,23.7,6.05,11.7,-9.95,6.89,-3.27,-6.34,7.6,-5.85,2.02,-4.4,-3.69,-0.93,0.783,0.768,2.81,3.33
142,-153,135,-49.4,42.1,-1.97,14.3,-0.831,10.5,-3.19,-0.196,5,-7.22,0.738,-10.5,3.78,2.37,6.37,5.51,6.02,5.07
144,-127,126,-31.8,45.6,-0.383,10.5,-11.2,7.03,-7.81,3.58,-1.59,1.98,0.632,2.37,-7.68,-2.22,-1.81,0.839,-1.05,1.1
145,-136,128,-33.4,44,-4.12,17.4,-9.81,8.78,-10.7,3.68,-4.35,2.22,-0.257,6.69,-0.254,2.35,4.52,2.09,1.05,-1.67
146,-202,135,-56.3,47.4,-2.78,16.2,1.56,0.343,-1.38,-1.56,-0.425,-3.88,-1.81,3.25,1.76,-3.76,-0.409,-1.82,-1.13,-1.75
147,-158,132,-65.3,52.3,-9.91,18.7,-2.22,-0.76,-2.53,-0.928,-2.16,-0.492,-2.72,2.35,-3.23,-0.135,2.62,1.38,1.49,-2.88
153,-77.2,170,-46.8,8.76,18.7,6.82,-15.5,4.09,-8.43,-2.46,-7.82,-2.58,-1.21,3.46,-3.2,-2.6,-5.35,-0.147,-1.74,-3.06
154,-328,191,56.3,-0.425,7.26,8.23,-1.22,-1.28,0.842,-0.788,-2.5,-4.5,-3.68,1.44,1.07,-6.53,-8.84,-3.69,-0.535,0.336
155,-90.9,177,-56.2,15.6,7.73,3.78,-11.2,10.1,-10.1,-2.36,-5.51,-7.49,-4.21,-4.21,-7.48,-4.34,-6.34,-2.92,-0.816,-6.12
169,-246,191,29.3,53.7,17.4,2.52,-0.174,-3.41,2.43,-9.1,-12,1.65,4.06,4.65,-0.124,-3.72,6.3,4,-3.47,1.61
170,-163,162,-35.4,37.1,1.78,25.3,-9.18,10.3,-8.89,14.4,-5.29,0.641,-0.972,0.52,-4.05,-3.59,2.87,-4.83,0.658,-3.71
171,-160,174,-35.4,18.5,5.1,15.5,3.12,3.03,-2.88,6.89,5.86,-3.06,0.655,3.32,0.86,-1.96,1.37,1.33,-2.11,-1.93
172,-143,188,-28,23.9,-0.548,4.51,-1.29,13,1.93,5.15,3.79,-0.199,-3.45,0.59,3.8,2.11,2.71,1.18,2.07,-2.9
173,-192,205,-23.1,9.15,11.5,6.47,8.98,-5.23,4.91,2.19,-0.808,3.68,2.11,2.84,0.523,0.456,1.06,0.00874,-1.24,-3.54
174,-178,120,-35.8,35,-6.04,0.975,2.51,14.2,2.36,8.89,0.778,4.24,1.08,3.78,2.61,7.57,7.86,5.91,1.6,-2.06
175,-143,164,-36.3,16,-20.5,8.68,-20.9,-1.37,-15.3,-4.13,-8.95,-3.65,-5.3,-1.52,-4.91,-3.98,-3.54,-2.52,-1.24,-4.72
176,-122,184,-30.6,12.6,-4.09,14.4,-10.2,4.56,-9.67,5.68,-6.24,7.03,-7.26,-2.79,-8.61,1.53,-4.23,3.56,3.07,8.22
177,-56.4,175,-28,42.9,-5.08,21.8,-6.68,8.5,-5.92,8.36,0.843,5.15,1.24,2.14,-4.74,-7.35,-5.08,-6.32,-0.63,-3.11
178,-133,218,-28,26,10.8,-22.5,-17.7,-13,1.74,-8.9,-16.2,-7.55,-7.99,-6.39,-3.15,-8.53,-8.05,-1.15,-3.67,-4.47
179,-119,200,-20.6,17.6,-0.809,5.55,-0.365,-4.08,-1.26,0.0306,-2.4,-4.7,-0.683,1.88,0.313,1.92,1,2.2,-2.1,-5.52
189,-277,232,-39.7,-15.8,36.1,6.06,0.63,-0.434,-11.2,-11.2,-8.47,-7.3,-7.24,-4.73,-6.16,-10.1,-6.02,-5.52,-6.4,-2.86
190,-198,150,-34,24.4,-1.71,-1.23,-10,-14,-8.55,-10.3,-10.9,-6.84,-10.6,-9.23,-2.52,-7.07,-5.17,-4.08,-7.19,-6.41
191,-272,207,-13.2,-9.08,-5.47,8.5,0.798,9.92,-6.7,-6.13,2.72,-5.63,-2.4,-4.95,-5.16,-3.92,-0.379,1.57,3.84,0.486
192,-459,96.6,3.92,-11.5,5.3,3.37,-5.09,-4.5,-3.97,-3.64,-0.932,-2.43,-3.21,-1.28,-2.04,-3.68,-2.26,-0.959,-2.73,-3.75
193,-247,169,-32.9,27.4,4.23,3.66,-3.24,-3.84,-7.04,-4.85,-7.78,-5.3,-7.81,-8.25,-4.03,-4.83,-5.33,-4.92,-6.06,-4.58
